|4176|U||55681||B|2|B|L|0B||||05/28/1981|^|
|4177|||320|||1||||||||^|
|4198|||12873|||1||||||||^|
|4199|D||70636||D|1|B|L|0D||||08/02/1984|^|
|4201|||27218|||1||||||||^|
|4237|||8596|||1||||||||^|
|4259|U||43280||B|2|B|L|0B||||07/01/1983|^|
|4289|U||34551||B|5|B|L|0B||||03/25/1981|^|
|4295|||670|||3||||||||^|
|4296|||41901|||2||||||||^|
|4297|||72308|||2||||||||^|
|4298|||73144|||2||||||||^|
|4319|||43034|||1||||||||^|
|4320|||17352|||2||||||||^|
|4321|||72055|||1||||||||^|
|4324|||36290|||1||||||||^|
|4335|||27077|||4||||||||^|
|4336|U||44050||D|1|B|L|0D||||06/03/1988|^|
|4360|D||34558||D||B|L|0D||||10/29/1996|^|
|4376|||63775|||1||||||||^|
|4377|||63606|||2||||||||^|
|4381|U||26892||D|4|B|L|0D||||10/01/2002|^|
|4399|||72457|||1||||||||^|
|4440|U||24697||C|1|C|L|0C||||11/06/1996|^|
|4456|||2774|||2||||||||^|
|4463|||53850|||3||||||||^|
|4480|D||18655||D|1|B|L|0D||||09/11/1981|^|
|4481|||6684|||1||||||||^|
|4528|||49612|||7||||||||^|
|4529|||19708|||1||||||||^|
|4543|U||6507||D|2|B|L|0D||||10/29/1996|^|
|4552|||55180|||1||||||||^|
|4616|||61425|||2||||||||^|
|4688|||20355|||4||||||||^|
|4689|||63593|||1||||||||^|
|4737|U||72297||B|1|B|L|0B||||10/01/1999|^|
|4876|||71407|||1||||||||^|
|4877|||63889|||1||||||||^|
|4878|||37130|||2||||||||^|
|5239|||10917|||2||||||||^|
|5242|||33763|||2||||||||^|
|5274|U||20352||B|4|B|L|0B||||09/06/1994|^|
|5306|||63777|||1||||||||^|
|5368|U||22665||B|2|B|L|0B||||10/19/1984|^|
|5429|||15264|||2||||||||^|
|5445|||63135|||2||||||||^|
|5446|||35210|||2||||||||^|
|5506|||35950|||2||||||||^|
|5517|U||28864||B|8|B|L|0B||||10/18/1996|^|
|5544|||23463|||1||||||||^|
|5546|U||74579||B|2|B|L|0B||||09/08/1998|^|
|5551|||22126|||2||||||||^|
|5567|||33878|||2||||||||^|
|5622|||21598|||2||||||||^|
|5636|U||14742||B|2|B|L|0B||||02/14/1991|^|
|5703|||7634|||2||||||||^|
|5730|||48987|||2||||||||^|
|5731|||9415|||2||||||||^|
|5835|U||71291||B|2|B|L|0B||||11/03/1988|^|
|5853|||19457|||2||||||||^|
|5854|||30615|||1||||||||^|
|5865|||48953|||3||||||||^|
|5866|U||67662||D|1|B|L|0D||||05/16/2002|^|
|5869|||48731|||1||||||||^|
|5890|||61680|||1||||||||^|
|5891|||8183|||1||||||||^|
|5915|||73176|||1||||||||^|
|5917|||8589|||1||||||||^|
|5918|D||17476||D|2|B|L|0D||||03/18/1980|^|
|5919|||52948|||6||||||||^|
|5921|||69812|||4||||||||^|
|5923|||64434|||1||||||||^|
|5925|D||39750||D|2|B|L|0D||||03/18/1997|^|
|5947|||65005|||1||||||||^|
|5965|||57931|||1||||||||^|
|6006|||67743|||3||||||||^|
|6027|D||63794||D|2|B|L|0D||||11/12/1993|^|
|6128|||7080|||1||||||||^|
|6129|U||43633||B|2|B|L|0B||||12/05/1984|^|
|6232|U||13503||D|2|B|D|0D||||01/27/1999|^|
|6341|U||53678||D|1|B|P|0D||||03/10/1988|^|
|6346|U||23607||D|1|B|P|0D||||08/27/1993|^|
|6383|U||18134||D|2|B|P|0D||||06/04/1993|^|
|6485|||20491|||2||||||||^|
|6545|U||60762||D|2|B|P|0D||||08/31/1994|^|
|6686|||20437|||1||||||||^|
|6687|||22309|||1||||||||^|
|6703|||58963|||1||||||||^|
|6724|||70191|||1||||||||^|
|6748|||115|||2||||||||^|
|6783|U||39773||B|5|B|L|0B||||09/01/1982|^|
|6786|||57846|||2||||||||^|
|6789|||6818|||2||||||||^|
|6800|U||70690||C|4|C|L|0C||||02/04/1987|^|
|6801|||58630|||1||||||||^|
|6802|||62056|||4||||||||^|
|6805|||14381|||1||||||||^|
|6827|U||11193||B|1|B|L|0B||||08/09/1993|^|
|6833|||14766|||2||||||||^|
|6846|||25917|||1||||||||^|
|6863|||67133|||2||||||||^|
|6864|||48341|||4||||||||^|
|6881|||48341|||4||||||||^|
|6936|||52746|||1||||||||^|
|6937|U||41332||B|2|B|L|0B||||11/06/1996|^|
